,Product,Exchange,ym,volume,max,low,mean,Sharpe,tradingvolume,year,month
0,IC,CFFEX,2017-01,174253,6388.60009765625,5606.0,6076.23053656684,1.910740855041375,1205,2017,01
1,IC,CFFEX,2017-02,185088,6413.0,5786.7998046875,6131.616678873698,2.812124547333481,1950,2017,02
2,IC,CFFEX,2017-03,305130,6951.0,5901.2001953125,6296.695662788723,4.135321935585706,3514,2017,03
3,IC,CFFEX,2017-04,257531,6627.7998046875,5843.0,6305.986111111111,3.9644162063650894,5127,2017,04
4,IC,CFFEX,2017-05,329777,6217.39990234375,5452.2001953125,5822.962518310547,2.9754757042237614,3519,2017,05
5,IC,CFFEX,2017-06,361010,6115.7998046875,5425.2001953125,5869.772721724076,3.5956078390410653,1252,2017,06
6,IC,CFFEX,2017-07,308479,6277.2001953125,5625.39990234375,5994.96906389509,2.7296362487286263,3166,2017,07
7,IC,CFFEX,2017-08,305741,6474.60009765625,5840.2001953125,6186.236943783967,4.190342754752187,5123,2017,08
8,IC,CFFEX,2017-09,275217,6727.7998046875,6232.39990234375,6510.895263671875,3.360813230019846,2628,2017,09
9,IC,CFFEX,2017-10,223317,6729.0,6257.0,6534.697064568015,2.377821938506245,2511,2017,10
10,IC,CFFEX,2017-11,288015,6666.39990234375,5972.7998046875,6334.204539905895,3.8888865743459706,5278,2017,11
11,IC,CFFEX,2017-12,267371,6329.0,5843.0,6137.540457589285,2.7672436240258254,2346,2017,12
12,IC,CFFEX,2018-01,249972,6449.60009765625,6080.0,6304.574978915128,2.2590770599765264,1319,2018,01
13,IC,CFFEX,2018-02,210264,6212.0,5317.39990234375,5759.039982096354,3.3088031186080844,2535,2018,02
14,IC,CFFEX,2018-03,303512,6295.7998046875,5452.2001953125,5980.4727339311075,1.682586959499145,5134,2018,03
15,IC,CFFEX,2018-04,255926,6157.7998046875,5478.2001953125,5864.300001356337,4.272063898224662,1203,2018,04
16,IC,CFFEX,2018-05,267487,6072.7998046875,5344.60009765625,5835.845442338424,1.8421446786345486,1358,2018,05
17,IC,CFFEX,2018-06,311010,5799.0,4792.0,5309.834991455078,4.794702810647466,3193,2018,06
18,IC,CFFEX,2018-07,375895,5332.7998046875,4680.0,5065.31591796875,1.7666619961380963,4290,2018,07
19,IC,CFFEX,2018-08,397928,5239.7998046875,4536.0,4812.5695323114805,2.9464012367208015,2926,2018,08
20,IC,CFFEX,2018-09,347223,4895.2001953125,4390.0,4675.389474969161,3.979081889381109,3749,2018,09
21,IC,CFFEX,2018-10,408741,4741.60009765625,3877.0,4211.602776421441,2.500753507456374,3459,2018,10
22,IC,CFFEX,2018-11,504424,4710.60009765625,4124.39990234375,4401.881813742898,2.4185377313583647,6071,2018,11
23,IC,CFFEX,2018-12,707861,4528.0,3998.0,4269.465008544922,2.5310949192516925,6902,2018,12
24,IC,CFFEX,2019-01,829904,4404.39990234375,3947.60009765625,4225.509102561257,4.260881543381967,7233,2019,01
25,IC,CFFEX,2019-02,761502,5175.2001953125,4085.199951171875,4665.903336588542,3.0118773102958944,15796,2019,02
26,IC,CFFEX,2019-03,1728084,5628.0,4928.0,5368.140473865327,4.6500800710016215,10621,2019,03
27,IC,CFFEX,2019-04,1721196,5935.0,5068.0,5611.080944242932,3.9739047033873924,6311,2019,04
28,IC,CFFEX,2019-05,2071693,5120.0,4507.2001953125,4779.709985351563,1.9429630796812523,15756,2019,05
29,IC,CFFEX,2019-06,1858472,5052.7998046875,4340.60009765625,4719.0289306640625,2.362034672516513,6532,2019,06
30,IC,CFFEX,2019-07,1816904,5081.60009765625,4460.0,4776.376093325408,4.423754875035982,15460,2019,07
